239,460
326,468
414,480
504,485
593,480
680,472
763,467
226,575
318,573
413,578
501,577
593,578
683,573
777,577
245,686
324,683
411,670
504,670
596,677
683,677
772,690
390,204
501,190
616,204
280,260
377,286
508,283
629,283
726,268
200,342
272,367
350,380
429,380
508,388
575,377
652,375
737,363
803,347
154,450
854,452
136,578
868,577
42,577
963,573
152,700
855,703
198,803
263,786
350,772
431,772
508,767
580,767
652,775
737,785
804,804
280,886
373,867
504,872
636,860
727,888
388,944
501,972
613,952
501,1070
